ID,X,Y
1,50.99999992,13.00000005
1,49.00000008,14.00000005
1,49.00000008,16.00000005
1,49.66406248,17.33593749
1,49.99999992,20.00000005
1,52.66406248,19.66406245
1,53.99999992,19.00000005
1,53.99999992,18.00000005
1,52.99999992,14.00000005
1,52.99999992,13.00000005
1,50.99999992,13.00000005
2,29.00000006,80.99999995
2,27.00000006,80.99999995
2,27.40843766,83.59156219
2,28.00000006,85.99999995
2,28.00000006,87.99999996
2,28.00000006,88.99999996
2,31.00000006,88.99999996
2,31.00000006,86.99999995
2,31.00000006,83.99999995
2,30.55296518,81.78561787
2,29.00000006,80.99999995
3,79.99999995,2.00000004
3,76.99999995,2.00000004
3,75.63039402,5.1231994
3,76.99999995,6.00000004
3,79.66406251,6.33593748
3,80.99999995,7.00000004
3,83.38515467,6.37074276
3,81.99999995,3.00000004
3,79.99999995,3.00000004
3,79.99999995,2.00000004
4,67.99999994,23.00000005
4,68.33593754,24.66406246
4,68.99999994,26.00000006
4,70.33593754,26.66406246
4,72.99999994,27.00000006
4,74.32812506,26.32812502
4,74.99999994,25.00000006
4,74.99999994,24.00000006
4,74.99999994,23.00000005
4,72.99999994,23.00000005
4,68.72498314,21.94996645
4,67.99999994,23.00000005
5,60.99999993,2.00000004
5,59.99999993,2.00000004
5,59.33593753,2.33593748
5,58.66406249,5.66406244
5,57.99999993,7.00000004
5,57.99999993,9.00000004
5,58.99999993,9.00000004
5,60.66406249,8.66406244
5,61.99999993,8.00000004
5,62.66406249,6.66406244
5,62.99999993,4.00000004
5,61.99999993,4.00000004
5,61.99999993,2.00000004
5,60.99999993,2.00000004
6,12.00000004,92.99999996
6,9.00000004,92.99999996
6,9.00000004,94.99999996
6,9.00000004,97.99999996
6,8.00000004,97.99999996
6,9.00000004,99.99999997
6,12.00000004,99.99999997
6,12.00000004,96.99999996
6,13.00000005,96.99999996
6,13.00000005,95.99999996
6,14.00000005,95.99999996
6,14.00000005,93.99999996
6,14.00000005,92.99999996
6,12.00000004,92.99999996
7,47.00000008,44.00000007
7,44.00000007,44.00000007
7,43.33593751,45.33593752
7,43.00000007,47.00000008
7,43.00000007,48.00000008
7,43.66406247,49.33593752
7,44.00000007,50.99999992
7,47.00000008,50.99999992
7,47.00000008,49.99999992
7,47.00000008,48.00000008
7,47.00000008,44.00000007
8,26.00000006,46.00000008
8,25.00000006,46.00000008
8,24.00000006,46.00000008
8,24.00000006,47.00000008
8,21.00000005,47.00000008
8,20.00000005,47.00000008
8,20.00000005,48.00000008
8,20.00000005,49.99999992
8,22.00000005,49.99999992
8,25.00000006,49.99999992
8,27.00000006,49.00000008
8,27.00000006,47.00000008
8,27.00000006,46.00000008
8,26.00000006,46.00000008
9,39.00000007,0.00000003
9,33.00000006,0.00000003
9,33.00000006,2.00000004
9,33.00000006,3.00000004
9,36.66406247,3.33593748
9,38.00000007,4.00000004
9,40.00000007,4.00000004
9,39.66406247,1.33593747
9,39.00000007,0.00000003
10,22.00000005,32.00000006
10,19.00000005,32.00000006
10,19.00000005,35.00000007
10,20.00000005,35.00000007
10,20.00000005,37.00000007
10,21.00000005,37.00000007
10,21.00000005,38.00000007
10,24.00000006,38.00000007
10,24.00000006,37.00000007
10,24.00000006,34.00000007
10,24.00000006,33.00000006
10,22.00000005,32.00000006
11,74.99999994,82.99999995
11,71.99999994,82.99999995
11,71.99999994,84.99999995
11,72.99999994,86.99999995
11,73.99999994,86.99999995
11,73.99999994,88.99999996
11,75.33593754,89.66406252
11,76.99999995,89.99999996
11,77.99999995,89.99999996
11,77.99999995,87.99999996
11,77.33593755,86.66406251
11,76.99999995,84.99999995
11,75.99999994,84.99999995
11,75.99999994,83.99999995
11,74.99999994,83.99999995
11,74.99999994,82.99999995
12,40.00000007,66.99999994
12,39.00000007,66.99999994
12,35.00000007,66.99999994
12,35.40249255,70.19184874
12,37.00000007,70.99999994
12,40.00000007,70.99999994
12,42.00000007,69.99999994
12,42.00000007,66.99999994
12,40.00000007,66.99999994
13,99.99999997,34.00000007
13,96.99999996,34.00000007
13,96.99999996,35.00000007
13,95.99999996,35.00000007
13,93.99999996,35.00000007
13,93.99999996,36.00000007
13,94.44703676,38.21438215
13,95.99999996,39.00000007
13,97.99999996,39.00000007
13,97.99999996,38.00000007
13,98.99999997,38.00000007
13,98.99999997,37.00000007
13,99.99999997,37.00000007
13,99.99999997,34.00000007
14,78.99999995,65.99999993
14,77.99999995,65.99999993
14,77.99999995,66.99999994
14,77.99999995,68.99999994
14,78.80815131,70.59750938
14,81.99999995,70.99999994
14,83.99999995,70.99999994
14,83.99999995,69.99999994
14,83.99999995,67.99999994
14,82.99999995,67.99999994
14,80.99999995,67.99999994
14,80.99999995,65.99999993
14,78.99999995,65.99999993
15,30.00000006,68.99999994
15,26.00000006,68.99999994
15,25.66406246,69.6640625
15,23.40249062,70.8081513
15,23.00000005,73.99999994
15,25.66406246,73.6640625
15,27.00000006,72.99999994
15,29.00000006,71.99999994
15,30.00000006,71.99999994
15,30.00000006,68.99999994
16,31.00000006,61.99999993
16,28.3359375,62.33593753
16,27.00000006,62.99999993
16,25.00000006,62.99999993
16,25.00000006,64.99999993
